Codice;Descrizione1;BarCode;IDFamiglia;Famiglia;IDGruppo;Gruppo;Esistenza;Scarto;EsistenzaNetta;Esercizio;Listino 1;Listino2;ListinoLM
000000000243475;FEE BROTHERS 1864 ORANGE BITTERS 150 ML. ///;791863140513;00115;BITTER AROMATIZZANTI;013;APERITIVI;3,000;0;3,000;2021;23,96500;26,36500;15,97000
000000000243478;FEE BROTHERS 1864 OLD FASHION BITTERS 150 ML. ///;791863140506;00115;BITTER AROMATIZZANTI;013;APERITIVI;5,000;0;5,000;2021;23,97500;26,37500;15,98000
000000000243513;RUM APPLETON ESTATE 21Y 43° CL. 70///;5024576007008;8;RUM;032;DISTILLATI;4,000;0;4,000;2021;69,29500;76,23500;46,19300
000000000243513;RUM APPLETON ESTATE 21Y 43° CL. 70///;5024576007708;8;RUM;032;DISTILLATI;4,000;0;4,000;2021;69,29500;76,23500;46,19300
000000000243514;WILD TURKEY RYE 40,5° CL.70 ///;721059847001;9;WHISKY;032;DISTILLATI;9,000;0;9,000;2021;26,54500;29,20500;17,69000
000000000243521;VINO PINOT GRIGIO RAMORO CL.75 13° ORSOGNA;8032692480206;14;VINO BIANCO;009;VINI;74,000;2;72,000;2021;7,95500;8,75500;5,97800
000000000243539;TEQUILA HERRADURA BLANCO 40° CL.70;7501145233375;6;TEQUILA;032;DISTILLATI;4,000;0;4,000;2021;26,18500;28,80500;17,45000
000000000243540;TEQUILA MILAGRO 40° CL.70;5010327404011;6;TEQUILA;032;DISTILLATI;11,000;0;11,000;2021;30,93500;34,03500;20,62000
000000000243556;GIN PORTOBELLO ROAD 171 CL.70;5060292550008;11;GIN;032;DISTILLATI;7,000;0;7,000;2021;27,00500;29,71500;18,00000
000000000243592;GIN BEEFEATER 24 45° CL.70;5000299605004;11;GIN;032;DISTILLATI;40,000;0;40,000;2021;26,10500;28,72500;17,40000
000000000243593;VODKA KEGLEVICH LIMONE CL.70;8000440112402;7;VODKA;032;DISTILLATI;11,000;2;9,000;2021;7,78500;8,56500;5,85000
000000000243610;GIN MARTIN MILLER'S 40° CL.70;698929000395;11;GIN;032;DISTILLATI;21,000;0;21,000;2021;25,35500;27,89500;16,90000
000000000243692;VODKA SKYY GINGER CL.70///;8000040801287;7;VODKA;032;DISTILLATI;16,000;2;14,000;2021;10,46500;11,51500;8,36500
000000000243747;VODKA GREEN MARK 38° LT.1 ///;4620006995283;7;VODKA;032;DISTILLATI;161,000;2;159,000;2021;10,48500;11,53500;7,87900
000000000243766;MARASCHINO LUXARDO 32° CL.70;8000353006157;13;LIQUORI;010;AMARI E LIQUORI;15,000;2;13,000;2021;16,73500;18,41500;11,15000
000000000243794;VINO GEWURZTRAMINER 2019 CL.75 LA VIS ///;8006031092313;14;VINO BIANCO;009;VINI;2,000;2;0,000;2021;7,15500;7,87500;5,37200
000000000243796;VINO SAUVIGNON 2018 CL.75 LA VIS ////;8006031071400;14;VINO BIANCO;009;VINI;6,000;2;4,000;2021;5,25500;5,78500;3,94400
000000000243810;DE KUYPER CREMA CACAO CL. 70 ///;8710625508912;13;LIQUORI;010;AMARI E LIQUORI;2,000;2;0,000;2021;9,84500;10,82500;6,55000
000000000243816;PROSECCO BRUT 11.5° CL.75 D.O.C.G. COL VETORAZ;8013982000021;00118;PROSECCO/SPUMANTE;033;BOLLICINE;18,000;2;16,000;2021;8,93500;9,83500;6,71500
000000000243817;PROSECCO EXTRA DRY 11.5° CL.75 D.O.G.C. COL VETORAZ;8013982000014;00118;PROSECCO/SPUMANTE;033;BOLLICINE;18,000;2;16,000;2021;8,93500;9,83500;6,71500
000000000243833;CACHACA GERMANA CAETANO'S UMBURANA 40° CL.70;7898007610451;00113;MEZCAL/PISCO/CACHACA;032;DISTILLATI;5,000;0;5,000;2021;18,68500;20,55500;12,45000
000000000243857;VODKA ABSOLUT RUBY RED LT. 1 ///;7312040080106;7;VODKA;032;DISTILLATI;3,000;2;1,000;2021;17,90500;19,70500;13,46000
000000000243869;GIN MARCONI CL.70 46°;8014115001649;11;GIN;032;DISTILLATI;6,000;0;6,000;2021;29,25500;32,18500;19,50000
000000000243876;PROSECCO ANIMAE CL.75 D.O.C.G. PERLAGE;8017955130005;00118;PROSECCO/SPUMANTE;033;BOLLICINE;1,000;2;-1,000;2021;13,17500;14,49500;9,90000
000000000243913;GIN BOTANIC ULTRA PREMIUM W&H 45° CL.70 ///;8410028900442;11;GIN;032;DISTILLATI;10,000;0;10,000;2021;43,13500;47,45500;28,75000
